country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
Australia,1983,6414000000.00,195752000000.00,0.03,,,
Australia,1984,8803633923.00,216296000000.00,0.04,,,
Australia,1985,9671544064.00,241250000000.00,0.04,,,
Australia,1986,10122680671.00,264811000000.00,0.04,,,
Australia,1987,11489988206.00,298984000000.00,0.04,,,
Australia,1988,12962536002.00,334994000000.00,0.04,,,
Australia,1989,13807744810.00,366305000000.00,0.04,,,
Australia,1990,15138206351.00,376500000000.00,0.04,,,
Australia,1991,16069968788.00,391107000000.00,0.04,,,
Australia,1992,16905655303.00,409252000000.00,0.04,,,
Australia,1993,18193593688.00,430153000000.00,0.04,,,
Australia,1994,19473877996.00,453930000000.00,0.04,,,
Australia,1995,20382041496.00,486473000000.00,0.04,,,
Australia,1996,20844753436.00,527599000000.00,0.04,,,
Australia,1997,21911563766.00,555291000000.00,0.04,,,
Australia,1998,24116725861.00,588097000000.00,0.04,,,
Australia,1999,28118264271.00,620141000000.00,0.05,,,
Australia,2000,28469820601.00,661159000000.00,0.04,,,
Australia,2001,33710823271.00,705066000000.00,0.05,,,
Australia,2002,34592097056.00,754253000000.00,0.05,,,
Australia,2003,35789654196.00,800960000000.00,0.04,,,
Australia,2004,37819720225.00,861039000000.00,0.04,,,
Australia,2005,39677544269.00,922371000000.00,0.04,,,
Australia,2006,41980487325.00,996430000000.00,0.04,,,
Australia,2007,44938848935.00,1086593000000.00,0.04,,,
Australia,2008,51709456955.00,1177313000000.00,0.04,,,
Australia,2009,51586376991.00,1260145000000.00,0.04,,,
Australia,2010,53081884806.00,1301211000000.00,0.04,,,
Australia,2011,55816509502.00,1416622000000.00,0.04,,,
Australia,2012,58981695561.00,1499458000000.00,0.04,,,
Australia,2013,63018069692.00,1536307000000.00,0.04,,,
Australia,2014,66854288171.00,1598530000000.00,0.04,,,
Australia,2015,71923858072.00,1624392000000.00,0.04,,,
Australia,2016,75839550963.00,1662337000000.00,0.05,,,
Australia,2017,78193093908.00,1764512000000.00,0.04,,,
Australia,2018,81140288750.00,1847675000000.00,0.04,,,
Japan,1953,643300000000.00,,,,,
Japan,1954,637400000000.00,,,,,
Japan,1955,694900000000.00,,,,,
Japan,1956,812100000000.00,,,,,
Japan,1957,868800000000.00,,,,,
Japan,1958,930800000000.00,,,,,
Japan,1959,1083000000000.00,,,,,
Japan,1960,1296700000000.00,15950643462144.00,0.08,,,
Japan,1961,1549200000000.00,19263102386176.00,0.08,,,
Japan,1962,1821000000000.00,21860286726144.00,0.08,,,
Japan,1963,2145600000000.00,25019327447040.00,0.09,,,
Japan,1964,2418600000000.00,29429642297344.00,0.08,,,
